Guard Shift,Guard Name;W�chtername;;,
Information about all properties in the system,Inactive;inaktiv;;,
Insurance,Installation Date;Installationsdatum;;,
Invoice Amount,Insurance Type;Versicherungstyp;;,
Invoice No.,Invoice Item Group;Rechnungspositionsgruppe;;,
Item,Issue Materials Detail;Detail zu ausgestellten Materialien ;;,
Item Group,Issue photo;Foto ausstellen;;,
Key Set,Key;Schl�ssel;;,
Key Set Detail,Key Number;Schl�sselnummer;;,
Key sets in custody.,Key Set;Schlie�system;;,
Keyboard Shortcuts,Key Set Detail;Schlie�system Detail;;,
Lease Report,Lease No.;Mietvertragsnr.;;,
Lease pertaining to the properties.,Lease Start;Mietbeginn;;,
"LocalStorage is full , did not save",Lease pertaining to the properties.;Mietvertrag in Bezug auf die Immobilien.;;,
"LocalStorage is full, did not save",Left;links;;,
Log out,Lock Type;Schlosstyp;;,
Maintenance,MORE INFORMATION;mehr Informationen;;,
Make Invoice Schedule,Maintenance Job in-charge;Verantwortlicher f�r Wartungsarbeiten;;,
Make Invoice Schedule for all Lease,Maintenance Manager;Wartungsmanager;;,
"Master data syncing, it might take some time",Managed for customer;f�r Kunden verwaltet;;,
Message,Materials Billed;Materialien in Rechnung gestellt;;,
Meter Does Not Exist For This Type,Message;Nachricht;;,
Meter Reading,Meter Does Not Exist For This Type;Z�hler existiert nicht f�r diesen Typ;;,
Meter database,Meter Reading Detail;Z�hlerstand Detail;;,
My Profile,Monthly;monatlich;;,
My Settings,MultiSelect Item Group;Mehrfachauswahl Artikelgruppe;;,
New,My Settings;Meine Einstellungen;;,
New Cart,Name;Name;;,
New Sales Invoice,New;Neu;;,
Not items found,North-West;Nordwesten;;,
Offline,Off Lease in 3 Months;in 3 Monaten aus dem Mietvertrag;;,
Online,On Sale;Zum Verkauf;;,
Outsourcing Attendance,Out;aus;;,
Outsourcing Category,Outsourcing Attendance;Outsourcing der Anwesenheit;;,
Outsourcing Category definition.,Outsourcing Category;Outsourcingkategorie;;,
Owner Type,Outsourcing Shift;Outsourcingschicht;;,
POS Profile,Owner Type;Eigent�mertyp;;,
POSITION,POS Customer;POS-Kunde;;,
PRESENT,POS Profile;POS-Profil;;,
Pay,Paint;Farbe;;,
"Payment Mode is not configured. Please check, whether account has been set on Mode of Payments or on POS Profile.",Parent property;�bergeordnete Immobilie;;,
Please Setup Default Maintenance Tax Template in <a href='{0}'>{1}</a>,Photo;Foto;;,
Please select Apply Discount On,Playground;Spielplatz;;,
Please select a Customer in Lease {0},Please Setup Default Maintenance Tax Template in {1};Bitte richten Sie die Standard-Wartungssteuervorlage in {1} ein;;,
Please select customer,Please select Apply Discount On;Bitte w�hlen Sie Rabatt anwenden auf;;,
Point of Sale,Please select a Customer in Lease {0};Bitte w�hlen Sie einen Kunden im Mietvertrag {0};;,
Position,Point of Sale;Verkaufsstelle;;,
Present,Premature expiry date;vorzeitiges Vertragsende;;,
Price List not found or disabled,Previous Meter Reading;Vorherige Z�hlerablesung;;,
Print,Previous Reading Date;Vorheriges Ablesedatum;;,
Property Amenity,Proforma Invoice raised;Proforma-Rechnung erstellt;;,
Property Amenity definition.,Property;Immobilie;;,
Property Analytics,Property Amenity;Immobilienausstattung;;,
Property Documents,Property Amenity definition.;Definition der Immobilienausstattung.;;,
Property Management,Property Analytics;Immobilienanalyse;;,
Property Management Settings,Property Documents;Immobiliendokumente;;,
Property Masters,Property Management Solution;Immobilienverwaltungssystem;;,
Property Settings,Property Number;Immobiliennummer;;,
Property Status,Property Owner;Eigent�mer der Immobilie;;,
Property Type,Property Settings;Immobilieneinstellungen;;,
Property database.,Property Unit;Mieteinheit;;,
Property that needs to be managed.,Property User;Immobiliennutzer;;,
REMARKS,Quantity;Menge;;,
Register all meters here.,Recovered for rent;zur Vermietung wiederhergestellt;;,
Reload,Recovered for repairs;f�r Reparaturen wiederhergestellt;;,
Remarks,Register all meters here.;Alle Z�hler hier registrieren.;;,
Rental,Rent Currency;Mietw�hrung;;,
Report an Issue,Rent Frequency;H�ufigkeit Mietzahlung;;,
Sales invoice ${r.doc.name} created succesfully,Sales Order;Verkaufsauftrag;;,
Save,Sales Order Number;Verkaufsauftragsnummer;;,
Search Item,Schedule Start Date;Startdatum des Zeitplans;;,
Security Attendance,Security Account Code;Sicherheitskontocode;;,
Security Deposit Details,Security Deposit Amount;Kautionsbetrag;;,
Security Deposit Details definition.,Security Deposit Currency;Kautionsw�hrung;;,
Select Batch No,Security deposit;Kaution;;,
Select items to save the invoice,Seen;gesehen;;,
Select or add new customer,Select Batch No;Chargennummer ausw�hlen;;,
Send,Self Consumption;Eigenverbrauch;;,
Serial no item cannot be a fraction,Self Consumption Customer;Eigenverbrauchskunde;;,
Service Type,Service Charge Currency;Servicegeb�hr W�hrung;;,
Session Defaults,Service Charge Frequency;Servicegeb�hr H�ufigkeit;;,
Shif for security guards.,Set Name;Name festlegen;;,
Shift,Shelf No.;Regalnr.;;,
Start Date,Stamp Duty Status;Stempelsteuerstatus;;,
State,Stamp duty paid by tenant;Stempelsteuer vom Mieter bezahlt;;,
Stock Qty,Status Active;Status aktiv;;,
Subject,Sub Contractor;Subunternehmer;;,
Submitted orders can not be deleted,Subject;Betreff;;,
Sync Master Data,Submit Maintenance Invoice;Wartungsrechnung einreichen;;,
Sync Offline Invoices,Submitted orders can not be deleted;eingereichte Bestellungen k�nnen nicht gel�scht werden;;,
TOTAL,Sync Offline Invoices;Offline-Rechnungen synchronisieren;;,
Testing,Tennis court;Tennisplatz;;,
The materials required has items and so the job card cannot be closed. Please confirm billing status fo the materials required.,Termination;Beendigung;;,
This is to show status of every lease by type of property,Testing;testen;;,
To,Title;Titel;;,
To Date,Title deed number;Grundbuchnummer;;,
To Month,To;an;;,
Toggle Full Width,To Date;bis Datum;;,
Toggle Theme,To Month;bis Monat;;,
Tool Item Record,Tool Item;Werkzeugartikel;;,
Tool Item Set,Tool Item Number;Werkzeugartikelnummer;;,
Tool Item Sets in custody.,Tool Item Record;Werkzeugartikelaufzeichnung;;,
Total,Tool Item Set;Werkzeugartikelset;;,
Unit Type,Unit Number;Nummer der Mieteinheit;;,
Unit Type definition.,Unit Owner;Eigent�mer der Mieteinheit;;,
User Forum,Unit Type;Typ der Mieteinheit;;,
View Website,User Forum;Benutzerforum;;,
Withholding Tax Summary,West;Westen;;,
Year,Witness 2;Zeuge 2;;,
You are in offline mode. You will not be able to reload until you have network.,Work Done;Arbeit erledigt;;,
ZIP Code,Year;Jahr;;,
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2},ZIP Code;Postleitzahl;;,
